iter	RMSE
0	26.65179623
1	25.68593183
2	24.66619564
3	23.63475045
4	22.73365296
5	21.86517178
6	21.01238601
7	20.19240963
8	19.3709363
9	18.58379685
10	17.83911361
11	17.16121533
12	16.50805537
13	15.92969004
14	15.31971692
15	14.75587207
16	14.20453026
17	13.69576157
18	13.20114006
19	12.70665776
20	12.27344844
21	11.88195927
22	11.47092184
23	11.05912346
24	10.70193403
25	10.31649107
26	9.975085399
27	9.629547329
28	9.276604819
29	8.958672008
30	8.631896688
31	8.332661231
32	8.061099188
33	7.809315323
34	7.556646499
35	7.301351455
36	7.079397709
37	6.888090017
38	6.671072262
39	6.455799105
40	6.276736682
41	6.115213952
42	5.934480718
43	5.774402563
44	5.648894783
45	5.482238593
46	5.334914927
47	5.185745491
48	5.055084565
49	4.947480581
50	4.830258904
51	4.714587423
52	4.601644521
53	4.506464967
54	4.404193275
55	4.307745573
56	4.225330713
57	4.151776529
58	4.070799815
59	3.989495986
60	3.917112568
61	3.853532627
62	3.786170517
63	3.707166677
64	3.632802233
65	3.567800743
66	3.49663407
67	3.441379476
68	3.401812184
69	3.345157564
70	3.283806747
71	3.247859975
72	3.207536342
73	3.158744426
74	3.120688465
75	3.087795019
76	3.044915681
77	3.012240486
78	2.982984319
79	2.959659102
80	2.934766164
81	2.895213751
82	2.879485296
83	2.860667487
84	2.831714657
85	2.808320304
86	2.791026577
87	2.76895309
88	2.744875861
89	2.72759691
90	2.716192888
91	2.698652686
92	2.686265863
93	2.674356767
94	2.651339081
95	2.636638992
96	2.62375575
97	2.609474159
98	2.599332251
99	2.586457817
100	2.568136772
101	2.55011555
102	2.53883433
103	2.526358855
104	2.520059042
105	2.512208106
106	2.494692655
107	2.483402919
108	2.474472682
109	2.468740702
110	2.456297879
111	2.449166965
112	2.444341852
113	2.438351427
114	2.426755748
115	2.399862484
116	2.394387105
117	2.375047005
118	2.372866683
119	2.369896668
120	2.363562096
121	2.358540405
122	2.355338383
123	2.347296662
124	2.343810763
125	2.338757146
126	2.335126139
127	2.325928953
128	2.321837784
129	2.318236984
130	2.314440806
131	2.3107559
132	2.302735529
133	2.300714901
134	2.294941275
135	2.292120871
136	2.288630027
137	2.282764021
138	2.281356904
139	2.279259189
140	2.276210351
141	2.274208936
142	2.271839537
143	2.27040049
144	2.26612989
145	2.262071705
146	2.258873349
147	2.255044324
148	2.239337112
149	2.23648729
150	2.232362951
151	2.228746094
152	2.225376779
153	2.224501173
154	2.218538619
155	2.217154504
156	2.213966541
157	2.212774542
158	2.208556793
159	2.204549396
160	2.202719704
161	2.200332477
162	2.198270759
163	2.19165735
164	2.186820951
165	2.181494542
166	2.180965515
167	2.17449668
168	2.168511382
169	2.165010741
170	2.162536416
171	2.157986863
172	2.154565973
173	2.143166976
174	2.142332892
175	2.139598782
176	2.136397768
177	2.133415455
178	2.131000285
179	2.130191803
180	2.126142085
181	2.124651988
182	2.123051382
183	2.120824764
184	2.118042447
185	2.117044462
186	2.115050532
187	2.109698827
188	2.100343344
189	2.097908252
190	2.096631735
191	2.09499391
192	2.093144715
193	2.090504048
194	2.088984785
195	2.08858469
196	2.087553568
197	2.083718164
198	2.081893721
199	2.079977766
200	2.076543422
201	2.075506884
202	2.072276222
203	2.070634752
204	2.068977544
205	2.066457529
206	2.064715109
207	2.063264213
208	2.061373016
209	2.059576587
210	2.057805336
211	2.055961007
212	2.054503293
213	2.053469221
214	2.052026134
215	2.050199189
216	2.049237215
217	2.047161061
218	2.037885821
219	2.036705389
220	2.035376136
221	2.034474719
222	2.032925388
223	2.031438691
224	2.02970791
225	2.028735706
226	2.027084069
227	2.024602994
228	2.023898352
229	2.02039941
230	2.018733524
231	2.017542015
232	2.015703548
233	2.012348105
234	2.011654925
235	2.010463503
236	2.009655201
237	2.009101049
238	2.007968126
239	2.007021325
240	2.005174903
241	2.003755223
242	2.002194236
243	2.000869171
244	2.00021296
245	1.999564686
246	1.997919353
247	1.996386924
248	1.995400511
249	1.994194931
250	1.989975939
251	1.989311545
252	1.988094203
253	1.98608645
254	1.98398247
255	1.983690716
256	1.982636024
257	1.981887442
258	1.98134639
259	1.980133768
260	1.979530637
261	1.978834265
262	1.976970885
263	1.975925014
