iter	Passed	Remaining
0	17	17489
1	27	13792
2	37	12542
3	46	11617
4	55	11084
5	59	9842
6	68	9704
7	77	9606
8	86	9505
9	93	9298
10	102	9247
11	111	9207
12	120	9169
13	129	9138
14	137	9017
15	146	8997
16	151	8749
17	160	8740
18	169	8732
19	172	8462
20	181	8468
21	190	8479
22	199	8486
23	208	8486
24	217	8492
25	226	8493
26	235	8492
27	244	8489
28	253	8487
29	262	8483
30	269	8436
31	274	8314
32	283	8317
33	286	8131
34	295	8139
35	304	8146
36	311	8114
37	320	8119
38	329	8121
39	338	8124
40	347	8129
41	356	8133
42	365	8136
43	373	8105
44	382	8109
45	389	8083
46	398	8087
47	407	8087
48	411	7984
49	420	7986
50	427	7962
51	436	7964
52	439	7857
53	448	7862
54	457	7866
55	466	7869
56	475	7873
57	484	7875
58	494	7879
59	503	7880
60	510	7860
61	519	7861
62	527	7840
63	532	7783
64	541	7786
65	550	7789
66	559	7790
67	568	7791
68	577	7790
69	586	7790
70	593	7770
71	602	7771
72	611	7770
73	620	7770
74	628	7750
75	636	7732
76	641	7684
77	649	7682
78	659	7684
79	662	7622
80	671	7622
81	680	7622
82	689	7621
83	698	7622
84	707	7621
85	715	7603
86	724	7601
87	727	7544
88	736	7542
89	745	7542
90	754	7541
91	763	7539
92	773	7538
93	782	7538
94	791	7535
95	800	7534
96	809	7531
97	818	7529
98	827	7526
99	836	7524
100	843	7508
101	851	7493
102	862	7508
103	871	7505
104	880	7502
105	889	7499
106	898	7495
107	901	7447
108	906	7412
109	914	7398
110	923	7396
111	932	7393
112	941	7390
113	950	7387
114	959	7383
115	968	7380
116	973	7347
117	982	7343
118	985	7293
119	994	7290
120	997	7248
121	1006	7245
122	1015	7242
123	1024	7239
124	1028	7199
125	1035	7185
126	1039	7145
127	1048	7142
128	1057	7139
129	1066	7137
130	1075	7134
131	1079	7095
132	1087	7092
133	1096	7089
134	1105	7086
135	1114	7082
136	1123	7078
137	1132	7075
138	1141	7072
139	1150	7068
140	1154	7031
141	1163	7028
142	1172	7025
143	1177	6997
144	1186	6993
145	1194	6989
146	1203	6985
147	1211	6973
148	1220	6969
149	1229	6965
150	1232	6931
151	1241	6927
152	1250	6923
153	1259	6919
154	1268	6915
155	1277	6910
156	1286	6906
157	1295	6902
158	1304	6897
159	1313	6893
160	1321	6888
161	1330	6884
162	1339	6880
163	1348	6875
164	1357	6871
165	1366	6867
166	1375	6862
167	1384	6858
168	1393	6853
169	1402	6848
170	1411	6843
171	1420	6839
172	1429	6834
173	1438	6829
174	1447	6824
175	1456	6819
176	1465	6814
177	1474	6808
178	1483	6803
179	1490	6791
180	1499	6786
181	1508	6781
182	1517	6776
183	1526	6770
184	1535	6765
185	1544	6759
186	1553	6754
187	1562	6749
188	1571	6744
189	1580	6738
190	1589	6732
191	1598	6727
192	1607	6721
193	1616	6715
194	1625	6709
195	1634	6703
196	1643	6697
197	1652	6692
198	1661	6686
199	1670	6680
200	1679	6674
201	1689	6673
202	1699	6670
203	1707	6664
204	1716	6658
205	1725	6652
206	1734	6646
207	1743	6640
208	1752	6634
209	1761	6628
210	1770	6622
211	1779	6616
212	1788	6609
213	1797	6603
214	1806	6596
215	1815	6590
216	1824	6584
217	1833	6578
218	1842	6571
219	1851	6565
220	1860	6558
221	1869	6552
222	1878	6545
223	1887	6539
224	1896	6532
225	1905	6525
226	1914	6519
227	1923	6512
228	1932	6506
229	1941	6499
230	1950	6492
231	1959	6485
232	1968	6479
233	1977	6472
234	1986	6465
235	1994	6458
236	2003	6451
237	2012	6444
238	2021	6437
239	2030	6430
240	2039	6423
241	2048	6417
242	2057	6410
243	2066	6402
244	2075	6395
245	2084	6388
246	2093	6381
247	2102	6374
248	2110	6366
249	2119	6359
250	2128	6352
251	2137	6344
252	2146	6337
253	2155	6330
254	2164	6323
255	2173	6315
256	2182	6309
257	2191	6301
258	2200	6294
259	2209	6287
260	2218	6280
261	2226	6272
262	2235	6265
263	2244	6258
