iter	RMSE
0	10.91183497
1	10.47951234
2	10.03713973
3	9.627327252
4	9.239525518
5	8.877299626
6	8.53031512
7	8.197988955
8	7.869578086
9	7.540951677
10	7.256596639
11	6.976746256
12	6.713578809
13	6.477875405
14	6.22740105
15	5.983148369
16	5.757538287
17	5.537870573
18	5.329201492
19	5.13593918
20	4.955129485
21	4.792045083
22	4.622115207
23	4.44690627
24	4.301176217
25	4.147094833
26	4.004748013
27	3.866871898
28	3.752640519
29	3.626401253
30	3.507427527
31	3.408994419
32	3.305617857
33	3.212317758
34	3.112655573
35	3.020028318
36	2.923333655
37	2.83565724
38	2.766972025
39	2.699239695
40	2.621087356
41	2.546268846
42	2.486387259
43	2.421047082
44	2.36578021
45	2.311875606
46	2.26369788
47	2.20567134
48	2.162660887
49	2.109574569
50	2.072854695
51	2.030603735
52	1.993557522
53	1.956353902
54	1.929346979
55	1.90135207
56	1.865165459
57	1.83576722
58	1.80590325
59	1.779655875
60	1.759943212
61	1.73963866
62	1.720376076
63	1.695537115
64	1.68210498
65	1.658649509
66	1.644050085
67	1.632146306
68	1.61659046
69	1.60478767
70	1.586212218
71	1.571634292
72	1.554113108
73	1.538281357
74	1.531527289
75	1.51354766
76	1.50219236
77	1.49646048
78	1.488993287
79	1.475093326
80	1.464643861
81	1.458444131
82	1.447702279
83	1.437374159
84	1.431011912
85	1.422401661
86	1.412838096
87	1.406190691
88	1.392150622
89	1.388231661
90	1.383028601
91	1.378860804
92	1.376447389
93	1.372954963
94	1.362626703
95	1.354234369
96	1.342447771
97	1.323255453
98	1.308204761
99	1.300721794
100	1.298777504
101	1.29151046
102	1.276029095
103	1.270921997
104	1.261904534
105	1.255339761
106	1.243799255
107	1.240433194
108	1.236108573
109	1.233636573
110	1.224943556
111	1.212236517
112	1.20418218
113	1.20263136
114	1.186484565
115	1.171674328
116	1.169153602
117	1.16570877
118	1.160836207
119	1.15521816
120	1.152465633
121	1.151639414
122	1.14175336
123	1.135696954
124	1.133507595
125	1.12863092
126	1.117106949
127	1.113310712
128	1.112309271
129	1.106008174
130	1.103196233
131	1.090013543
132	1.086891186
133	1.082743407
134	1.079174841
135	1.07814629
136	1.077527926
137	1.075066621
138	1.071307182
139	1.062087495
140	1.059532167
141	1.054435956
142	1.044451843
143	1.042840072
144	1.039624839
145	1.034620222
146	1.032571503
147	1.029596156
148	1.023853284
149	1.022241568
150	1.01132941
151	1.007790274
152	1.000828783
153	0.9975193262
154	0.9920798416
155	0.9890202329
156	0.9869423657
157	0.9813203409
158	0.9769684653
159	0.9747430968
160	0.9676700501
161	0.9656950745
162	0.9640293169
163	0.9626098949
164	0.9613093646
165	0.9588951412
166	0.957946359
167	0.9534308023
168	0.9473493119
169	0.9453470933
170	0.9445243407
171	0.9433741155
172	0.9303680321
173	0.9242453123
174	0.920479481
175	0.9187988879
176	0.9155978216
177	0.9107447699
178	0.9038863158
179	0.9034608643
180	0.8991018685
181	0.8979820546
182	0.8966086211
183	0.8906960904
184	0.887752732
185	0.8845295831
186	0.8824363018
187	0.8774449212
188	0.8697744233
189	0.8676959725
190	0.8598748213
191	0.849873569
192	0.8458331344
193	0.8405306926
194	0.8386636698
195	0.8365529002
196	0.8259895893
197	0.8238307948
198	0.8147386838
199	0.8105760979
200	0.8096468034
201	0.8080385248
202	0.8049954177
203	0.8048035349
204	0.8032009432
205	0.8013112725
206	0.7994993942
207	0.7973672616
208	0.7934265755
209	0.7813567468
210	0.7792813739
211	0.7757691611
212	0.7738267034
213	0.7718837505
214	0.7656806142
215	0.7633224509
216	0.7593021674
217	0.753405715
218	0.751171447
219	0.7498840068
220	0.7485781503
221	0.7466580524
222	0.7453342081
223	0.7436842652
224	0.7412269214
225	0.7391987273
226	0.7346562473
227	0.732971771
228	0.7323342407
229	0.7281205383
230	0.7265065391
231	0.72473281
232	0.7237963204
233	0.7155386503
234	0.7149882517
235	0.7130378088
236	0.7111819196
237	0.7091001615
238	0.7057452208
239	0.701401964
240	0.7007970806
241	0.6979017172
242	0.6965751266
243	0.6904604232
244	0.6899030609
245	0.6841981884
246	0.6834238857
247	0.683024746
248	0.6818461043
249	0.6806532788
250	0.6795650709
251	0.6779244941
252	0.6771392859
253	0.6763658202
254	0.6689232026
255	0.6629498873
256	0.6611529762
257	0.6601718813
258	0.6585860201
259	0.6583738756
260	0.6580798946
261	0.6566645206
262	0.6546663919
263	0.6501868386
264	0.6491782477
265	0.6474175471
266	0.6464843498
267	0.6461033158
268	0.6436336849
269	0.6398545802
270	0.6371637341
271	0.6358898913
272	0.6341090817
273	0.631197674
274	0.6273856255
275	0.6267663758
276	0.6263423231
277	0.6257248547
278	0.6223831822
279	0.6219224065
280	0.6196132831
281	0.6189250217
282	0.6177216682
283	0.6164419758
284	0.6157648632
285	0.6138518024
286	0.6134801029
287	0.6119357979
288	0.610301073
289	0.6076162332
290	0.6073191296
291	0.606510651
292	0.599526419
293	0.5984725224
294	0.5982816789
295	0.5969109115
296	0.5964062674
297	0.5941817567
298	0.5937955481
299	0.5930484088
300	0.5922995839
301	0.5918487434
302	0.5910487537
303	0.5907643181
304	0.5848118416
305	0.5838674818
306	0.5834608672
307	0.5829621416
308	0.5828902689
309	0.5817903786
310	0.5806940478
311	0.5750756902
312	0.5745686081
313	0.5730862027
314	0.5721767102
315	0.5718745644
316	0.5714414727
317	0.5709175426
318	0.5691596634
319	0.568885919
320	0.5635772851
321	0.5626151319
322	0.5621096569
323	0.5604522615
324	0.5603450058
325	0.5592538573
326	0.5584002835
327	0.5559398528
328	0.5548252326
329	0.5547423973
330	0.5542412135
331	0.5520868472
332	0.5493761189
333	0.5490020115
334	0.5483358358
335	0.5481052297
336	0.5478885411
337	0.5471904734
338	0.547135891
339	0.5468708564
340	0.5466849606
341	0.545433296
342	0.5452019406
343	0.5451392943
344	0.5427198536
345	0.5419438422
346	0.5413118664
347	0.5399159084
348	0.5391947304
349	0.5389773631
350	0.5388818365
351	0.5387513449
352	0.5373532554
353	0.5343891453
354	0.5299680037
355	0.5293793191
356	0.5274243667
357	0.5265270898
358	0.5227222483
359	0.5224018287
360	0.5214379191
361	0.5212589813
362	0.5209845221
363	0.5204708462
364	0.519897183
365	0.5197398283
366	0.5192532246
367	0.5187453452
368	0.5186383127
369	0.518564048
370	0.5180168961
371	0.5159213013
372	0.515672106
373	0.5155100305
374	0.5154736783
375	0.5152215454
376	0.5146529909
377	0.514610781
378	0.514238883
379	0.513236949
380	0.5129390335
381	0.5126786109
382	0.5121422488
383	0.5108661998
384	0.5104642054
385	0.5101745287
386	0.5092438178
387	0.5092061218
388	0.5072027454
389	0.5035758328
390	0.5032893174
391	0.5003584531
392	0.4998947098
393	0.497886691
394	0.4978166823
395	0.4968893991
396	0.4947461147
397	0.4938186283
398	0.4933330912
399	0.4927945129
400	0.4925528301
401	0.4924031914
402	0.4920719577
403	0.491912645
404	0.491692163
405	0.489655751
406	0.4894147667
407	0.4892238831
408	0.4889948045
409	0.4889192213
410	0.4886793916
411	0.4885186389
412	0.4883495879
413	0.4873571317
414	0.4851269981
415	0.4836327203
416	0.4828517913
417	0.4826505775
418	0.4822517517
419	0.4821361613
420	0.4820494588
421	0.4819359003
422	0.478412183
423	0.4771758434
424	0.4760924249
425	0.4743444741
426	0.4739592792
427	0.473895299
428	0.4738006544
429	0.4729251817
430	0.4728475643
431	0.4713998349
432	0.4712819116
433	0.4710465819
434	0.4703099045
435	0.4696302707
436	0.4674133196
437	0.4672635499
438	0.4672190475
439	0.4659953064
440	0.4646136331
441	0.4644546596
442	0.4644092737
443	0.4627839723
444	0.4626796558
445	0.4623730876
446	0.4606678691
447	0.4605584717
448	0.4599492148
449	0.4594171332
450	0.4593350683
451	0.4592769841
452	0.4569441544
453	0.4535543632
454	0.4528955879
455	0.4528219895
456	0.4517154553
457	0.4510622888
458	0.4504999722
459	0.4502367996
460	0.4497274104
461	0.4493823516
462	0.4477984569
463	0.4469661009
464	0.4467357885
465	0.4461667768
466	0.446066925
467	0.4456444134
468	0.4450112767
469	0.4446215501
470	0.4437714621
471	0.4426543466
472	0.4420374325
473	0.4419582266
474	0.4409304909
475	0.4400951284
476	0.4399996231
477	0.4383059055
478	0.4381858099
479	0.4381484372
480	0.4380531773
481	0.4372621852
482	0.4367967107
483	0.434680653
484	0.4344857589
485	0.4339296305
486	0.4298038826
487	0.4276472214
488	0.427256403
489	0.4271673009
490	0.4264005221
491	0.4261110462
492	0.4255639701
493	0.4248507069
494	0.423432569
495	0.4228311194
496	0.4227479294
497	0.4213438201
498	0.421054933
499	0.4208536128
500	0.4190876976
501	0.4188340961
502	0.4187165527
503	0.4179967924
504	0.4174599554
505	0.4160033203
506	0.4155398268
507	0.4151440309
508	0.4147957491
509	0.4145597939
510	0.4144977164
511	0.4141558582
512	0.4134391592
513	0.4132634786
514	0.4131615737
515	0.4127224599
516	0.4118999425
517	0.4098784497
518	0.4095160761
519	0.4094492724
520	0.4088727071
521	0.4085178216
522	0.4082840878
523	0.4082453355
524	0.4080670393
525	0.4079292698
526	0.4073978137
527	0.4068751795
528	0.4065173672
529	0.4064363532
530	0.4063149024
531	0.4058477353
532	0.4056173461
533	0.4041995861
534	0.4034994234
535	0.4034494634
536	0.4032100019
537	0.4028265148
538	0.4026669531
539	0.4024017675
540	0.4011893596
541	0.4008937973
542	0.4008399947
543	0.4007134506
544	0.4004435517
545	0.400142509
546	0.3992339763
547	0.3991351265
548	0.3988216307
549	0.3955183539
550	0.3949994817
551	0.3944863323
552	0.3942719216
553	0.3939619836
554	0.3938099036
555	0.393405154
556	0.392955683
557	0.3929175348
558	0.3927402291
559	0.3926813861
560	0.3908420371
561	0.3907074149
562	0.3906321572
563	0.3903551418
564	0.3903148183
565	0.3896490755
566	0.3895383775
567	0.3895139155
568	0.3894125565
569	0.3893660016
570	0.3892448366
571	0.3888831482
572	0.3887601553
573	0.3886354666
574	0.3861074832
575	0.3853238127
576	0.385291721
577	0.3851272861
578	0.3846126002
579	0.3841773269
580	0.3840241738
581	0.383740243
582	0.3836276061
583	0.3836096092
584	0.3833015122
585	0.3831813651
